ADD00032.labHours: chose 0; variants: 0 (cntt-2024, ktpm-2024, httt-2024); 2 (khmt-2024)
BIO00002.credits: chose 3; variants: 3 (khmt-2024, ktpm-2024, httt-2024); 1 (cntt-2024)
BIO00002.lectureHours: chose 45; variants: 45 (khmt-2024, ktpm-2024, httt-2024); 0 (cntt-2024)
BIO00002.practiceHours: chose 0; variants: 0 (khmt-2024, ktpm-2024, httt-2024); 30 (cntt-2024)
CHE00082.credits: chose 2; variants: 2 (cntt-2024, khmt-2024, httt-2024); 3 (ktpm-2024)
CHE00082.lectureHours: chose 0; variants: 0 (cntt-2024, khmt-2024, httt-2024); 45 (ktpm-2024)
CHE00082.practiceHours: chose 60; variants: 60 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
CSC10003.lectureHours: chose 0; variants: 0 (cntt-2024, khmt-2024, httt-2024); 30 (ktpm-2024)
CSC10003.practiceHours: chose 10; variants: 0 (ktpm-2024, httt-2024); 10 (cntt-2024, khmt-2024)
CSC10008.lectureHours: chose 45; variants: 45 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
CSC10008.practiceHours: chose 30; variants: 30 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
ADD00034.credits: chose 3; variants: 3 (cntt-2024, khmt-2024, httt-2024); 1 (ktpm-2024)
ADD00034.lectureHours: chose 30; variants: 30 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
ADD00034.practiceHours: chose 30; variants: 30 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
BAA00006.labHours: chose 0; variants: 0 (khmt-2024, ktpm-2024, httt-2024); 5 (cntt-2024)
BAA00007.lectureHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
BAA00007.labHours: chose 0; variants: 0 (cntt-2024, ktpm-2024, httt-2024); 6 (khmt-2024)
CSC10009.lectureHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC10009.practiceHours: chose 0; variants: 0 (cntt-2024, ktpm-2024, httt-2024); 1 (khmt-2024)
CSC10014.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC10014.practiceHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 10 (khmt-2024)
MTH00051.credits: chose 4; variants: 4 (cntt-2024, ktpm-2024, httt-2024); 6 (khmt-2024)
MTH00051.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
MTH00051.practiceHours: chose 30; variants: 0 (cntt-2024, khmt-2024); 30 (ktpm-2024, httt-2024)
MTH00051.labHours: chose 0; variants: 0 (khmt-2024, ktpm-2024, httt-2024); 30 (cntt-2024)
MTH00052.credits: chose 4; variants: 4 (cntt-2024, ktpm-2024, httt-2024); 7 (khmt-2024)
MTH00052.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
MTH00052.practiceHours: chose 30; variants: 0 (cntt-2024, khmt-2024); 30 (ktpm-2024, httt-2024)
CSC11120.credits: chose 4; variants: 4 (cntt-2024, ktpm-2024); 8 (khmt-2024)
CSC11120.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024); 0 (khmt-2024)
CSC11120.practiceHours: chose 30; variants: 30 (cntt-2024, ktpm-2024); 0 (khmt-2024)
CSC13001.lectureHours: chose 45; variants: 45 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
CSC13001.practiceHours: chose 30; variants: 30 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
CSC13009.lectureHours: chose 45; variants: 45 (cntt-2024, khmt-2024, httt-2024); 30 (ktpm-2024)
CSC13009.practiceHours: chose 30; variants: 30 (cntt-2024, khmt-2024, httt-2024); 0 (ktpm-2024)
CSC14002.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC14002.practiceHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 3 (khmt-2024)
CSC14003.credits: chose 4; variants: 4 (khmt-2024, ktpm-2024, httt-2024); 8 (cntt-2024)
CSC14003.lectureHours: chose 4; variants: 4 (khmt-2024, ktpm-2024, httt-2024); 0 (cntt-2024)
CSC14003.practiceHours: chose 3; variants: 3 (khmt-2024, ktpm-2024, httt-2024); 0 (cntt-2024)
CSC14005.credits: chose 4; variants: 4 (cntt-2024, ktpm-2024, httt-2024); 5 (khmt-2024)
CSC14005.lectureHours: chose 4; variants: 4 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC14005.practiceHours: chose 7; variants: 7 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC14006.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC14006.practiceHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 9 (khmt-2024)
CSC14113.credits: chose 4; variants: 4 (khmt-2024, ktpm-2024, httt-2024); 1 (cntt-2024)
CSC15003.lectureHours: chose 45; variants: 45 (khmt-2024, ktpm-2024, httt-2024); 30 (cntt-2024)
CSC15003.practiceHours: chose 30; variants: 30 (khmt-2024, ktpm-2024, httt-2024); 45 (cntt-2024)
CSC15010.lectureHours: chose 4; variants: 4 (khmt-2024, ktpm-2024, httt-2024); 12 (cntt-2024)
CSC15010.practiceHours: chose 12; variants: 12 (khmt-2024, ktpm-2024, httt-2024); 0 (cntt-2024)
CSC15102.lectureHours: chose 4; variants: 4 (cntt-2024, ktpm-2024, httt-2024); 30 (khmt-2024)
CSC15102.practiceHours: chose 13; variants: 13 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC15102.labHours: chose 0; variants: 0 (cntt-2024, ktpm-2024, httt-2024); 5 (khmt-2024)
CSC15108.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC15108.practiceHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 15 (khmt-2024)
CSC16004.lectureHours: chose 4; variants: 4 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC16004.practiceHours: chose 17; variants: 17 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC16101.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 30 (khmt-2024)
CSC16101.practiceHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC16101.labHours: chose 0; variants: 0 (cntt-2024, ktpm-2024, httt-2024); 6 (khmt-2024)
CSC11002.practiceHours: chose 30; variants: 30 (khmt-2024, ktpm-2024, httt-2024); 0 (cntt-2024)
CSC10252.labHours: chose 300; variants: 300 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC14117.lectureHours: chose 45; variants: 45 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC14117.practiceHours: chose 30; variants: 30 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
CSC10204.labHours: chose 180; variants: 180 (cntt-2024, ktpm-2024, httt-2024); 0 (khmt-2024)
BAA00104.credits: chose 2; variants: 1 (khmt-2024); 2 (httt-2024)
BAA00104.lectureHours: chose 30; variants: 0 (khmt-2024); 30 (httt-2024)
